dp1;dp2;dp3;dp4;dp5;dp6;dp7;dp8;dp9;dp10;dp11;dp12;dp13;dp14;dp15;dp16;dp17;dp18;dp19;dp20;dp21;dp22;dp23;dp24
0;-0.015926959;-0.035595337;-0.039660669;-0.007414375;-0.009149743;-0.002918725;0.014508929;-0.012150939;-0.001908504;-0.000337173;0.017162599;-0.001216209;-0.005324459;0.00918904;0.011504958;0.058073729;0.050501002;0.008079038;-0.013173945;-0.008186615;-0.021927409;-0.01232493;-0.041854138
-0.047595602;-0.024736185;-0.0263066;-0.000235933;-0.009006874;0.01312755;0.022766872;0.027301048;-0.017132552;0.020813411;0.021915093;0.007704411;-0.004007582;-0.005113976;-0.000654736;0.020847961;0.057119119;0.056133464;-0.005647825;0.002205495;-0.010398614;-0.0225115;-0.028514056;-0.05075718
-0.033115468;-0.037348378;-0.021852842;-0.009446216;0.008858442;0.002700957;0.035253456;0.034709089;0.016914236;0.02358691;0.017693589;0.003398733;0.001746366;-0.007831015;-0.007371645;0.013353346;0.061493995;0.061026482;-0.025892651;-0.011926562;0.002076255;-0.027622461;-0.030802539;-0.050415002
-0.03258373;-0.045199622;-0.011427265;-0.007498414;0.001966568;0.009546265;0.054884498;0.027464601;0.014338793;0.034819013;0.01375461;0.007200276;-0.005321246;-0.00644298;-0.003386792;0.010323605;0.051099456;0.042342135;-0.010851872;-0.010879005;-0.008677991;-0.018151198;-0.038396767;-0.04484125
-0.054606789;-0.021913005;-0.023877585;-0.010951403;0.005148447;0.008974723;0.037727474;0.049184682;0.018286419;0.028895355;0.018325249;-0.00711397;-0.002546024;0.00244822;-0.002840492;0.016536965;0.034232611;0.048221272;-0.004808977;-0.014567035;-0.004448277;-0.020311567;-0.039483028;-0.043523316
-0.054939359;-0.037682576;-0.011689396;-0.013869313;-0.000454287;0.025015424;0.026348877;0.047408344;0.024096386;0.029008465;0.010291262;0.002026342;-0.002219542;-0.004259851;-0.009455573;0.005859375;0.054740032;0.046373419;-0.014448433;-0.014116801;-0.013400793;-0.014141134;-0.044435986;-0.044059874
-0.041100156;-0.04629479;-0.028936554;0.002282323;0.001822116;0.006012138;0.019043352;0.023792555;-0.000216732;0.009921277;0.006204536;0.018908784;-0.021471257;-0.007081545;-0.000646273;0.0110367;0.063857224;0.050667446;0.003699312;-0.007698522;-0.010068562;-0.017009282;-0.03359083;-0.031824502
-0.044287548;-0.035404142;-0.018069533;-0.008227591;-0.000465549;0.01490554;0.02502973;0.035704477;0.003125168;0.02664685;0.01981225;0.010523627;-0.007959184;-0.00688769;0.010977174;0.010050251;0.048395841;0.047263331;0.007316627;-0.035237389;-0.006914516;-0.029807553;-0.031632349;-0.048341183
-0.054595979;-0.030713229;-0.019009855;-0.003893116;-0.008308605;0.009962049;0.031934042;0.027616525;0.004216132;0.021250958;0.003462454;0.020102652;0.006647323;0.010981541;0.027391639;-0.007415308;0.046215139;0.068265162;-0.009684788;-0.010614242;-0.006329703;-0.030430867;-0.041666667;-0.056022698
-0.047820889;-0.042877452;-0.016404968;0.004714757;0.008081045;0.017001099;0.049435186;0.050534603;0.036671081;0.031989763;0;0.013185121;0.001814969;-0.00200621;-0.007968893;0.001637371;0.053846514;0.032033739;-0.001590949;-0.025169063;0.007230658;-0.026647198;-0.049862546;-0.045438727
