pd1;pd2;pd3;pd4;dt
-4,1;-1,580112721;-3,497290111;-3,888947759;6
-4,648925938;-2,443398341;-2,596507353;-0,023590469;7
-3,25760823;-3,666371289;-2,161664942;-0,940180985;1
-3,206138968;-4,420069505;-1,136234519;-0,74704057;2
-5,315546434;-2,16755175;-2,359587903;-1,08917631;3
-5,347054076;-3,698571733;-1,162147205;-1,377379619;4
-4,027255161;-4,524743033;-2,852386238;0,228493088;5
-4,332810047;-3,478831638;-1,790774113;-0,819388344;6
-5,314522117;-3,024871163;-1,883086876;-0,388555281;7
-4,670417153;-4,197750807;-1,627150163;0,472589792;1
-4,720724387;-3,982915109;-1,256672598;-0,878477306;2
-5,493630573;-2,959140691;-2,192078133;0,310662377;3
-5,500397141;-3,351544442;-1,467550821;-0,110326567;4
-4,609512625;-4,021750282;-1,795831106;-0,598672037;5
-5,263681592;-2,573259111;-3,449762829;-0,480125056;6
-5,111723294;-3,946236559;-0,940333595;-1,469092553;7
-3,288398693;-4,413938754;-2,761820592;0,329470575;1
-5,271860714;-2,125474895;-2,087704574;-0,075002679;2
-4,401425407;-4,060044328;-1,722146382;-0,491505503;3
-6,077937185;-3,096294767;-0,35147513;-0,245831552;4
-4,067695962;-2,651397916;-2,236116999;0,520325203;5
-5,059552168;-3,412284223;-2,285951787;-0,435984687;6
-5,384464496;-2,94392039;-1,719534337;-2,314714193;7
-3,660104857;-2,053598932;-2,599853234;-1,162415241;1
-4,889264264;-2,812037494;-1,918781726;0,538246558;2
-5,523773797;-2,253325392;-1,218645273;-0,472910455;3
-3,330258303;-3,349556255;-2,122827804;0,79693332;4
-4,258204502;-2,795089707;-1,865164173;0,158384478;5
-4,028841821;-2,535687453;-2,110233186;-1,161531647;6
-5,258285503;-1,846785226;-2,777501244;-0,020479214;7
-4,284231386;-1,991521246;-1,438487074;-0,377628087;1
-5,282846715;-2,22521915;-1,389162562;-0,059946049;2
-5,859802848;-2,646887725;-0,836570063;0,411770614;3
-4,446469248;-3,833317441;-0,654437283;-0,319393153;4
-5,046797578;-3,17935833;-0,349336261;-0,270432692;5
-4,52201142;-2,614063856;-1,901743265;-0,141357027;6
-3,816065636;-3,669906765;-0,803130148;-0,768112933;7
-3,143246399;-3,87822767;-0,919828577;-0,200443085;1
-4,828296061;-2,44813686;-1,592420883;0,286767718;2
-5,174838286;-1,690558576;-1,578841512;-0,807193215;3
-4,362163181;-2,541621515;-1,142221773;-0,961145194;4
-5,373940579;-2,755905512;-0,900809717;0,122561536;5
-4,949851412;-1,729360039;-1,56094651;-1,02009898;6
-4,224675948;-1,794486216;-1,071866068;0,257971314;7
-2,733418242;-1,25906527;-1,887177395;-0,758993554;1
-4,144652942;-3,088472869;-1,363012355;0,129237499;2
-4,040684235;-2,765465408;-1,179268655;-0,461291617;3
-4,353524951;-2,496084573;-1,485794599;-0,112096199;4
-5,80087385;-1,727030494;-1,154850372;-0,335263639;5
-4,597378277;-2,728432623;-1,180506508;-1,306922606;6
-4,141029397;-1,87468161;-2,118160108;-1,962448287;7
-2,333931777;-4,095179739;-0,745394527;0,085827701;1
-4,589853011;-2,425206242;-1,212182948;-0,907403588;2
-3,122590594;-3,392359729;-2,286067346;-0,073769628;3
-3,720793246;-3,405730601;-0,179457405;-0,507614213;4
-4,407125626;-2,785596428;-0,908546326;0,735516373;5
-4,796296296;-1,38105427;-1,252465483;0,619195046;6
-3,510638298;-3,477999399;-1,339563863;-0,073676455;7
-2,957467854;-2,45642646;-0,470219436;-0,619422572;1
-6,188614475;-2,774954259;-1,317302666;0,158915139;2
-3,730769231;-2,147423092;-1,286107992;-1,168441733;3
-3,363420428;-2,33015436;-1,751560298;-0,594262295;4
-4,52050972;-3,136872869;-0,693955547;-0,405104314;5
-3,850477797;-2,630809705;-1,370959672;-0,263798701;6
-2,971162249;-2,341639147;-3,033097653;0,1585121;7
-4,307508226;-3,115556945;-0,591525059;-0,584225901;1
-5,077772203;-3,446453113;-0,689806197;-1,223814774;2
-3,358247159;-3,549104778;-1,329086116;-0,055660692;3
-2,184320766;-2,49821556;-1,181761138;-1,164144354;4
-3,872348706;-2,844129555;-2,583602459;1,422307775;5
-3,987641209;-3,157683025;-2,128764278;0,148541114;6
-3,977043899;-2,757680612;-0,496010352;-2,405721717;7
-3,250615258;-3,508214096;-1,010544815;1,642254771;1
-4,919170882;-1,877542505;-1,668969916;-0,140540541;2
-5,007466401;-1,351917837;-2,963985977;0,766367418;3
-5,26733459;-2,12565445;-0,84519097;-0,420802762;4
-5,18619614;-2,724655562;0,475636825;0,420786871;5
-5,148763524;-1,924839597;-1,526479751;-0,168722978;6
-5,878250473;-2,900391659;-2,73629129;0;7
-2,62145012;-1,057579318;-1,176851652;-0,415164427;1
-4,337255665;-0,965741588;-1,37548758;-0,010407993;2
-5,366327026;-2,245693191;-0,681842022;-0,654837347;3
-6,520484709;-1,574074074;-1,191596112;0,550089919;4
-5,300009725;-1,776545492;-2,226868792;0,417023097;5
-4,348677767;-1,525701413;-2,661952792;0,160239291;6
-4,219843557;-3,513862025;-1,058024279;0;7
-5,253132832;-3,385885092;-0,689957288;-1,257168064;1
-4,821702454;-3,061738342;-1,714285714;-0,179704017;2
-4,727835251;-1,471483661;-2,183541044;0,263241023;3
-4,336309232;-2,748436058;-1,265422335;-0,267008437;4
-5,115139637;-2,87101105;-1,265284423;0,118457894;5
-6,015924506;-2,583411777;-0,934077732;-1,083775875;6
-4,26296867;-5,08583691;-1,526113498;-0,998737229;7
-3,597805444;-3,480354602;-1,802925502;-0,58891455;1
-5,110594889;-2,405534859;-1,614134584;-0,598603259;2
-4,736627195;-1,950278611;-2,513661202;-0,739910314;3
-5,57574499;-1,616450407;-1,441824075;-0,23814924;4
-5,287550032;-3,447508897;-0,74867542;-0,719507949;5
-6,017736486;-3,504830375;-1,688009313;-0,284191829;6
-4,651427272;-4,210400763;-1,070850454;-1,09502832;7
-4,37114814;-3,234276167;-2,146028614;0,126039829;1
-5,521139007;-2,921891177;-1,066477071;-0,179662235;2
-4,715127701;-3,127147766;-2,305782192;-0,169450496;3
-6,116876024;-1,151832461;-1,895009416;-0,911817636;4
-4,765070922;-3,839888294;-1,621490803;0;5
-6,586695747;-4,039224842;-2,408759124;-0,760408876;6
-5,078125;-3,915700212;-1,972744971;-0,092678406;7
-3,113641871;-3,101162936;-1,729255388;-1,286933684;1
-7,613519973;-1,20719389;-0,099750623;-2,034448328;2
-7,188065099;-2,313687287;-0,84766891;-1,558964043;3
-5,066053992;-1,74249758;-3,472906404;-0,829293187;4
-7,699265122;-1,984321411;-2,386903274;0,435283574;5
-7,049238399;0,012703252;-2,845167027;-0,849784286;6
-5,978328559;-1,867797059;-2,942764579;-1,446453408;7
-4,287151119;-2,219887035;-1,491133799;-1,036410746;1
-5,969630231;-3,390039448;-0,752839097;-1,311391103;2
-3,883949462;-6,134371957;-1,478215768;0,631745196;3
-4,899541769;-4,077094144;-2,241112828;0,764163373;4
-5,88029809;-2,264010887;-2,64556962;-1,105187882;5
-2,438145568;-3,397759448;-2,574232191;-1,268803139;6
-5,483259634;-2,379361048;-2,957688621;0,310427543;7
-7,085473462;-0,751240255;-2,399314482;0,380450688;1
-4,632012352;-2,603885591;-2,341044466;-0,553191489;2
-6,510099781;-3,097748275;-1,934184016;-0,013696754;3
-5,888728324;-2,303262956;-2,357563851;0,268276325;4
-7,618934065;-1,587506453;-3,449180328;-0,312415105;5
-6,517186153;-3,545071165;-0,901762536;-1,957810561;6
-6,485301702;-3,515786571;-1,629036868;-0,653689715;7
-7,28847435;-3,089968382;-1,957585644;-0,635304795;1
-6,964502632;-3,148121282;-4,313960455;1,158422041;2
-5,646679215;-1,838130522;-2,438670344;-0,981996727;3
-5,766760853;-3,216573531;-0,957611604;-0,753590218;4
-6,225149105;-4,081091825;-1,464290648;-0,434599748;5
-6,745341615;-3,689889437;-1,798063624;-1,690140845;6
-6,767109295;-4,272801972;-3,233190272;-0,768775872;7
-5,506192784;-2,379256304;-2,466433158;0,209486757;1
-6,673257538;-4,449152542;-2,203436807;-0,921071277;2
-6,647543028;-3,740814963;-2,886884108;-0,085751036;3
-7,502162897;-3,781400321;-2,346896264;-1,407849829;4
-8,105770419;-3,321231679;-2,545201669;-0,513771942;5
-6,666666667;-4,112149533;-2,91005291;-0,258138534;6
-7,023323231;-2,83446712;-2,260793466;-2,253395016;7
-3,939352917;-3,988162345;-1,908116835;-0,209486757;1
-7,547169811;-4,56182473;-0,461215933;-1,109238978;2
-7,887183327;-4,254166102;-2,348945804;-0,362266338;3
-7,930731585;-2,27613466;-2,357043236;-1,656906156;4
-6,486486486;-3,683290765;-2,442428472;0,25751073;5
-6,629972479;-4,541800643;-1,78245614;-1,771934839;6
-6,007675003;-3,913839223;-2,710622711;-0,195783133;7
-6,250840167;-3,742472039;-2,145091613;0,045669052;1
-7,285188476;-4,134154689;-1,899186063;0,524017467;2
-7,087905158;-3,257771142;-2,679949488;-1,412918108;3
-5,291878173;-3,095269999;-3,000553097;0,11404134;4
-6,160010016;-2,615076718;-3,945745993;0,927114534;5
-8,168286382;-3,898191561;-1,867856147;0,667613636;6
-5,828707375;-4,701754386;-2,798232695;-1,939393939;7
-5,740915845;-1,905990255;-2,395909423;-1,4818141;1
-5,419403739;-4,768264993;-1,346423562;-0,2985499;2
-7,045596502;-4,515522107;-1,688951443;-2,691481747;3
-7,15359559;-4,601268385;-1,71145686;-0,992948626;4
-7,560222359;-5,024722705;-1,364851555;-1,184022825;5
-7,601476015;-2,715654952;-3,010399562;-1,18510158;6
-8,074943924;-2,56925506;-2,445492045;-3,548776805;7
-7,013513514;-3,967446592;-2,890435835;-1,667445847;1
-6,86729418;-3,829181495;-0,606867969;-2,114668652;2
-7,551750575;-2,211472011;-2,855123675;-1,7023134;3
-7,129385138;-3,682642838;-3,036266517;-2,739924616;4
-6,826152305;-4,126898777;-1,794727987;-1,442033124;5
-7,456359102;-4,540555106;-2,145377558;-0,706764748;6
-7,442489851;-3,026315789;-2,774008744;-1,674678245;7
-5,408736136;-3,314997105;-2,156011379;-0,198928845;1
-7,365079365;-3,04318026;-1,498656864;-1,090856897;2
-6,988311365;-3,529411765;-1,912416851;-1,356315343;3
-5,487728131;-4,940737781;-1,779209863;-2,182284981;4
-7,156285249;-4,036177106;-1,631734421;-2,102102102;5
-5,940470235;-3,683020875;-3,561568194;-2,834239908;6
-6,263269639;-5,634201586;-2,295229523;-0,307078151;7
-5,668347186;-3,668929655;-2,504123557;-1,091971701;1
-7,292719919;-5,017041581;-1,349217741;-0,843881857;2
-7,429993777;-5,552567895;-3,501779359;-0,457294586;3
-6,876028872;-3,861843894;-4,158415842;-1,239669421;4
-8,057238623;-2,972518228;-3,280346821;0,627521291;5
-7,699103875;-3,049364146;-3,737658674;-0,747252747;6
-7,699581251;-2,941606908;-1,05548854;-2,285888449;7
-3,698144105;-3,145812668;-4,008778347;-0,960219479;1
-5,914995586;-4,986595174;-3,386004515;-0,248247664;2
-7,019303083;-4,51604206;-3,557814485;-2,0787586;3
-8,309455587;-3,817934783;-3,234920186;-0,759124088;4
-7,416533202;-5,176314039;-1,487510525;-2,45014245;5
-8,415233415;-4,19852448;-2,632315878;0,719010641;6
-5,910133585;-2,552703284;-2,457689478;-0,73928787;7
-5,839221437;-2,845816225;-3,249781405;-0,346437717;1
-6,829690009;-5,514316013;-2,637485971;-2,204610951;2
-6,648766142;-4,150116422;-2,143469563;-1,109813084;3
-7,272263332;-3,783709411;-3,26040326;-1,093865484;4
-7,566410676;-4,195042223;-3,24139892;-0,617102557;5
-6,016385049;-3,772813947;-2,859164897;-0,990820341;6
-5,190126751;-3,982549958;-3,50285798;-0,440461725;7
-8,790616152;-1,892091648;0,120536387;-2,227238525;1
-7,344632768;-5,718157182;-1,192871515;-2,501818182;2
-8,849117574;-3,326970275;-2,143864598;-2,248486596;3
-7,418471496;-3,334229632;-2,420027816;-1,354047891;4
-6,110693714;-5,001333689;-1,853151762;-2,803604635;5
-8,101736973;-3,442689348;-2,978187919;-0,763798818;6
-5,684408098;-4,449182658;-3,257958941;-1,230201445;7
-6,323311312;-3,857225101;-2,859281437;-0,708891971;1
-6,848123291;-5,150100067;-2,700801801;-1,387884921;2
-6,033617662;-4,672273395;-2,240582551;-0,873800315;3
-4,943538269;-4,59345301;-2,407304925;-1,743691523;4
-6,165243596;-4,857486953;-1,898734177;-1,304659498;5
-6,104801239;-3,134020619;-3,689513268;-0,942979225;6
-6,330150068;-4,675211186;-2,872421696;-3,098946044;7
-5,938538206;-3,605592347;-1,938931298;-1,276661996;1
-7,704938739;-3,407691255;-1,997733069;-0,997542287;2
-7,007095793;-3,392832811;-0,832157969;-1,464940976;3
-5,964263709;-5,870790198;-0,45941807;-0,503496503;4
-6,960784314;-2,62118019;-3,66562965;-0,49143499;5
-7,914650788;-2,276707531;-5,210918114;0,785340314;6
-6,140350877;-4,24808836;-2,114758947;-2,054691041;7
-4,864498645;-2,777382139;-1,611485497;-1,369863014;1
-7,353676838;-3,752699784;-3,239831697;-0,855196405;2
-5,803627267;-3,239941575;-4,336489639;-1,305408119;3
-4,862155388;-4,122760801;-3,448275862;-1,508252703;4
-6,246119459;-4,794701987;-2,045075125;-0,156227809;5
-6,42121136;-2,981066201;-0,3183391;-1,874479311;6
-7,568416918;-2,493271002;-3,036466657;-0,988912197;7
-4,190321709;-3,343679458;-2,671142899;-0,134973005;1
-5,754950495;-2,823374918;-3,094594595;-1,115604518;2
-6,658476658;-3,053435115;-2,660874287;-0,50209205;3
-7,027424094;-3,779299447;-0,574791296;-2,023399862;4
-6,359300477;-2,285490401;-3,167602245;-1,256038647;5
-5,77350111;-3,665881121;-3,533568905;-0,267681037;6
-6,207169215;-3,273851342;-2,919814062;-0,553643573;7
-4,810160789;-3,491838183;-3,750551552;0,397310513;1
-5,129829006;-3,511348465;-2,366127024;-0,637755102;2
